US,America/Denver,Canonical,-420,-360,
US,America/Detroit,Canonical,-300,-240,
DM,America/Dominica,Alias,-240,-240,America/Port_of_Spain
CA,America/Edmonton,Canonical,-420,-360,
BR,America/Eirunepe,Canonical,-300,-300,
SV,America/El_Salvador,Canonical,-360,-360,
,America/Ensenada,Alias,-480,-420,America/Tijuana
CA,America/Fort_Nelson,Canonical,-420,-420,
,America/Fort_Wayne,Alias,-300,-240,America/Indiana/Indianapolis
BR,America/Fortaleza,Canonical,-180,-180,
CA,America/Glace_Bay,Canonical,-240,-180,
GL,America/Godthab,Canonical,-180,-120,
CA,America/Goose_Bay,Canonical,-240,-180,
TC,America/Grand_Turk,Canonical,-240,-240,
GD,America/Grenada,Alias,-240,-240,America/Port_of_Spain
GP,America/Guadeloupe,Alias,-240,-240,America/Port_of_Spain
GT,America/Guatemala,Canonical,-360,-360,
EC,America/Guayaquil,Canonical,-300,-300,
GY,America/Guyana,Canonical,-240,-240,
CA,America/Halifax,Canonical,-240,-180,
CU,America/Havana,Canonical,-300,-240,
MX,America/Hermosillo,Canonical,-420,-420,
US,America/Indiana/Indianapolis,Canonical,-300,-240,
US,America/Indiana/Knox,Canonical,-360,-300,
US,America/Indiana/Marengo,Canonical,-300,-240,
US,America/Indiana/Petersburg,Canonical,-300,-240,
US,America/Indiana/Tell_City,Canonical,-360,-300,
US,America/Indiana/Vevay,Canonical,-300,-240,
US,America/Indiana/Vincennes,Canonical,-300,-240,
US,America/Indiana/Winamac,Canonical,-300,-240,
,America/Indianapolis,Alias,-300,-240,America/Indiana/Indianapolis
CA,America/Inuvik,Canonical,-420,-360,
CA,America/Iqaluit,Canonical,-300,-240,
JM,America/Jamaica,Canonical,-300,-300,
,America/Jujuy,Alias,-180,-180,America/Argentina/Jujuy
US,America/Juneau,Canonical,-540,-480,
US,America/Kentucky/Louisville,Canonical,-300,-240,
US,America/Kentucky/Monticello,Canonical,-300,-240,
,America/Knox_IN,Alias,-360,-300,America/Indiana/Knox
BQ,America/Kralendijk,Alias,-240,-240,America/Curacao
BO,America/La_Paz,Canonical,-240,-240,
PE,America/Lima,Canonical,-300,-300,
US,America/Los_Angeles,Canonical,-480,-420,
